127.0.0.1 - - [25/Apr/2024:20:35:33 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /Mantenimiento_curso/index.jsp HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /Mantenimiento_curso/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /Mantenimiento_curso/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /Mantenimiento_curso/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /Mantenimiento_curso/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /Mantenimiento_curso/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:35:38 -0500] "GET /Mantenimiento_curso/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:36:06 -0500] "GET /Mantenimiento_curso/CursoServlet?tipo=list HTTP/1.1" 500 1356
0:0:0:0:0:0:0:1 - - [25/Apr/2024:20:36:06 -0500] "GET /Mantenimiento_curso/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
