127.0.0.1 - - [28/Apr/2024:18:55:54 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:02 -0500] "GET /Manten_Cibertec_DAO/login.jsp HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:03 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:03 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:03 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:03 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:55 -0500] "POST /Manten_Cibertec_DAO/LoginServlet HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:55 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:55 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:56:55 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:58:44 -0500] "GET /Manten_Cibertec_DAO/CursoServlet?tipo=list HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:58:44 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:58:44 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:58:44 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:59:00 -0500] "GET /Manten_Cibertec_DAO/CursoServlet?tipo=list HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:59:00 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:59:00 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2024:18:59:00 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:45 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:45 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:49 -0500] "GET /Manten_Cibertec_DAO/CursoServlet?tipo=list HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:49 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:49 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:49 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:51 -0500] "GET /Manten_Cibertec_DAO/regCursos.jsp HTTP/1.1" 200 1880
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:51 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:51 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:51 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:54 -0500] "GET /Manten_Cibertec_DAO/CursoServlet?tipo=list HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:54 -0500] "GET /Manten_Cibertec_DAO/code.jquery.com/jquery-latest.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [28/Apr/2024:19:07:54 -0500] "GET /Manten_Cibertec_DAO/cdn.jsdelivr.net/npm/@popperjs/core@2.10.2/dist/umd/popper.min.js HTTP/1.1" 404 800
